School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
1000,Balmain Trades School,Other School,Balmain Trades,,2041,Smith St,7 to 10,Balmain,Closed,Sydney,Not Known,Not Defined,Inner West (A),0,Leichhardt (A),Not Specified,Balmain,Balmain,Balmain,Grayndler,Sydney,Unassigned,,Unassigned,Unassigned,"South Eastern Sydney, Northern Sydney & Sydney",,,5013025,Coed School,N,Junior College,No,No Distance Education,Metropolitan,Not Defined,No,No,,,No,N,,,,,Not currently available,,,,No,,N,N,N,0,0,6,01/01/1899,31/12/1938,31/12/1938,-1,530,14170,14800,0,90,4,17,43,0,-1,-1,-1,0,,,,,,,,,,,,,,,
1001,Abbotsford Public School,Primary School,Abbotsford,509,2046,350 Great North Rd,K to 6 ,Abbotsford ,Open,Sydney,Port Jackson,Port Jackson,Canada Bay (A),0,Canada Bay (A),Canada Bay (A) - Drummoyne,Drummoyne,Drummoyne,Drummoyne,Reid,Reid,Metropolitan South,School Performance South,Ultimo,Iron Cove,"South Eastern Sydney, Northern Sydney & Sydney",44402,4402,15,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9713 6220,9713 6419,https://abbotsford-p.schools.nsw.gov.au,abbotsford-p.school@det.nsw.edu.au,9712 1825,,No,E,N,N,N,0,1,41,1/04/1925,,,331,530,11520,11520,11524,89,25,37,38,601,26008,24663,26018,0,"Johnson, Christine                      ",chris.johnson17@det.nsw.edu.au,Metropolitan Sydney,10019,Drummoyne Peninsula Primary,Metro - Central,,,,,,,,,
1002,Aberdeen Public School,Primary School,Aberdeen,182,2336,Segenhoe St,K to 6 ,Aberdeen,Open,Hunter/Central Coast,H/CC8,Muswellbrook,Upper Hunter Shire (A),0,Upper Hunter Shire (A),Upper Hunter Shire (A),Upper Hunter,Upper Hunter,Upper Hunter,New England,Hunter,Regional North and West,School Performance North,Tamworth,Upper Hunter,Hunter New England & Central Coast,49333,9333,16,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,PO Box 6,Aberdeen 2336,6543 7271,,https://aberdeen-p.schools.nsw.gov.au,aberdeen-p.school@det.nsw.edu.au,6543 7712,,No,E,N,N,N,0,1,6144,01/02/1864,,,325,534,17620,17620,17620,22,85,30,22,649,27470,24685,26081,1.61,"Kerrigan, Corallee                      ",corallee.kent@det.nsw.edu.au                                                                                                    ,Hunter,10193,Scone Primary,Hunter,,,,,,,,,
1003,Abermain Public School,Primary School,Abermain,273,2326,Goulburn St,K to 6 ,Abermain ,Open,Hunter/Central Coast,H/CC9,Muswellbrook,Cessnock (C),0,Cessnock (C),Cessnock (C),Cessnock,Cessnock,Cessnock,Paterson,Hunter,Regional North,School Performance North,Tamworth,Cessnock,Hunter New England & Central Coast,49299,9299,17,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,4930 4210,,https://abermain-p.schools.nsw.gov.au,abermain-p.school@det.nsw.edu.au,4930 4319,,No,E,N,N,N,0,1,6139,1/08/1905,,,325,534,11720,11720,11720,28,18,36,22,650,26027,24685,26031,0.12,"Bower, Debbie                           ",debbie.bower@det.nsw.edu.au                                                                                                     ,Hunter,10126,Cessnock Primary,Hunter,,,,,,,,,
1004,Abernethy Public School,Primary School,Abernethy,,2325,Murray St,K to 6 ,Abernethy,Closed,Hunter/Central Coast,Not Known,Not Defined,Unknown,0,Not Specified,Not Specified,,,Not Known,,Not in NSW,Unassigned,,Unassigned,Unassigned,Unknown,,,5013079,Coed School,N,Comprehensive,No,No Distance Education,Not Defined,Not Defined,Unknown,No,,,No,N,,,,,Not currently available,,,,No,,N,N,N,0,1,0,1/05/1916,1/12/1966,1/12/1966,-1,534,-1,0,0,,-1,,0,0,-1,-1,-1,,,,,,,,,,,,,,,,
1007,Adaminaby Public School,Primary School,Adaminaby,14,2629,9 Cosgrove Street,K to 6 ,ADAMINABY,Open,Illawarra and South East,Sapphire Coast/Monaro,Queanbeyan,Snowy Monaro Regional (A),0,Snowy River (A),Snowy River (A),Monaro,Monaro,Monaro,Eden-Monaro,Eden-Monaro,Rural South and West,School Performance South,Wagga Wagga,Eden-Monaro,Illawarra Shoalhaven & Southern NSW,50425,10425,18,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6454 2265,,https://adaminaby-p.schools.nsw.gov.au,adaminaby-p.school@det.nsw.edu.au,6454 2552,,No,E,N,N,Y,10,2,3719,01/01/1869,,,333,538,17040,17050,17050,10,54,13,14,665,26084,24706,26090,2.69,"Cherry, Denise                          ",denise.cherry@det.nsw.edu.au,South East & Tablelands,10227,Rural Queanbeyan Primary,South East & Tablelands,,,,,,,,,
1008,Adamstown Public School,Primary School,Adamstown,334,2289,Bryant St,K to 6 ,Adamstown ,Open,Hunter/Central Coast,H/CC5,Newcastle,Newcastle (C),0,Newcastle (C),Newcastle (C) - Throsby,Newcastle,Newcastle,Newcastle,Newcastle,Newcastle,Regional North,School Performance North,Tamworth,Glenrock,Hunter New England & Central Coast,49043,9043,19,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4957 1114,4952 5408,https://adamstown-p.schools.nsw.gov.au,adamstown-p.school@det.nsw.edu.au,4956 2446,,No,E,N,N,N,0,1,50,01/07/1877,,,326,534,15900,15900,15905,29,60,31,32,646,26027,24685,26032,0,"Stothard, Emma                          ",emma.burrows@det.nsw.edu.au                                                                                                     ,Hunter,10131,Kotara Primary,Hunter,,,,,,,,,
1009,Adelong Public School,Primary School,Adelong,52,2729,ADELONG PUBLIC SCHOOL 50 GILMORE STREET,K to 6 ,ADELONG,Open,Riverina,Riverina East,Albury,Snowy Valleys (A),0,Tumut Shire (A),Tumut Shire (A),Wagga Wagga,Wagga Wagga,Wagga Wagga,Eden-Monaro,Riverina,Rural South and West,School Performance South,Wagga Wagga,Gundagai,"Murrumbidgee, Far West & Western NSW",50667,10667,20,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6946 2053,,https://adelong-p.schools.nsw.gov.au,adelong-p.school@det.nsw.edu.au,6946 2199,,No,E,N,N,N,10,2,73,01/03/1860,,,301,537,17080,17500,17500,8,87,13,40,661,26084,24706,26093,1.96,"Pilgrim, Peter                          ",peter.pilgrim@det.nsw.edu.au                                                                                                    ,Riverina - Murray,10219,Cootamundra RM Primary,Riverina - Murray,,,,,,,,,
1010,Agnes Banks Public School,Primary School,Agnes Banks,,2753,Castlereagh Rd,K to 6 ,Agnes Banks,Closed,Western Sydney,Not Known,Not Defined,Unknown,0,Not Specified,Not Specified,,,Not Known,,Not in NSW,Unassigned,,Unassigned,Unassigned,Unknown,,,5013032,Coed School,N,Comprehensive,No,No Distance Education,Not Defined,Not Defined,Unknown,No,,,No,N,,,,,Not currently available,,,,No,,N,N,N,0,1,0,01/02/1875,19/12/1970,19/12/1970,-1,533,-1,0,0,,-1,,0,0,-1,-1,-1,,,,,,,,,,,,,,,,
1015,Albion Park Public School,Primary School,Albion Park,476,2527,Tongarra & Hamilton Rds,K to 6 ,Albion Park ,Open,Illawarra and South East,Shellharbour,Shellharbour,Shellharbour (C),0,Shellharbour (C),Shellharbour (C),Kiama,Kiama,Kiama,Whitlam,Throsby,Regional South,School Performance South,Wagga Wagga,Lake Illawarra South,Illawarra Shoalhaven & Southern NSW,50020,10020,21,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4256 1244,,https://albionpk-p.schools.nsw.gov.au,albionpk-p.school@det.nsw.edu.au,4256 4160,,No,E,N,N,N,0,1,6154,01/07/1872,,,335,538,16900,16900,16900,20,38,47,44,667,26045,24706,26053,0.13,"Daniels, Glenn                          ",glenn.daniels@det.nsw.edu.au                                                                                                    ,Illawarra,10116,Albion Park Primary,Illawarra,,,,,,,40005,Illawarra SSP,Illawarra
