Principal Network,Principal Network Code
Albury,26085
Armidale,26063
Auburn,26009
Bankstown,26010
Barwon,26064
Batemans Bay,26086
Bathurst,26087
Beverly Hills,26011
Blue Mountains,26028
Bondi,26012
Botany Bay,26013
Brisbane Water,26029
Bungarribee,25991
Callaghan,26030
Cambridge Park,25992
Camden,26046
Campbelltown,26047
Canterbury,26014
Carlingford,25993
Central Coast,26033
Cessnock,26031
Chipping Norton,26015
Chullora,26016
Clarence Valley,26065
Coffs Harbour,26066
Connected Communities Team 1,27233
Connected Communities Team 2,27234
Connected Communities Team 3,27235
Cowpasture,26048
Cowra,26088
Deniliquin,26089
Eastern Creek,25994
Eden-Monaro,26090
Fairfield,26049
Far West,26091
Georges River,26017
Girraween,25995
Glenfield,26050
Glenrock,26032
Gordon,25996
Goulburn,26051
Grafton,26067
Great Lakes,26068
Griffith,26092
Gundagai,26093
Hastings,26069
Hawkesbury,26034
Hornsby,25997
Hume,26094
Hunter,26035
Iron Cove,26018
Kogarah,26019
Lake Illawarra North,26052
Lake Illawarra South,26053
Lake Macquarie East,26036
Lake Macquarie North,26037
Lake Macquarie West,26038
Lennox Coast,26070
Lismore,26071
Lithgow,26095
Liverpool,26054
Macarthur,26055
Macleay Valley,26072
Maitland,26039
Marrickville,26020
Mid Coast Valleys,26073
Mitchell,26097
Mooki,26074
Mooney Mooney,26040
Mount Druitt,25998
Mudgee,26098
Namoi,26075
Narrandera,26099
Newcastle,26041
North Sydney,25999
Northern Tablelands,26076
Orange,26100
Parramatta,26021
Peel,26077
Penrith,26000
Pittwater,26001
Port Hacking,26022
Port Jackson,26023
Port Stephens,26042
Quakers Hill,26002
Queanbeyan,26101
Richmond,26078
Ryde,26003
Shoalhaven,26056
South Coast,26057
St Andrews,26058
Strathfield,26024
Sutherland,26025
Taree,26079
Temora,26102
The Beaches,26004
The Forest,26005
The Hills,26006
The Ponds,26007
Tuggerah Lakes,26044
Tweed Coast,26080
Unassigned,-1
Upper Hunter,26081
Wagga Wagga,26103
Wambuul-Macquarie,26096
West Wyalong,26104
Western Plains,26082
Windsor,26043
Wollondilly,26059
Wollongong,26060
Wollongong North,26061
Wollumbin,26083
Woronora River,26026
Yass,26105
